company,slug,category,hq_country,date,change_type,description,announced,notice_period,grandfathering,user_reaction
11x (Alice),11x,sales_agent,US,2025-09-01,other,"Published a public rate card (Growth 'starting at $3,750/mo, billed annually') — unusual for the category and apparently part of the post-controversy transparency reset (date approximated; reported).",True,n/a,renewal increases capped (per page),
Anthropic (Claude consumer plans),anthropic-claude,foundation_lab,US,2025-08-28,limits_change,"Weekly usage limits added on top of 5-hour rolling sessions for Pro/Max: overall weekly cap plus separate Opus cap. Announced July 28, 2025; effective August 28, 2025. Anthropic stated <5% of users affected; aimed at 24/7 Claude Code use and account sharing. Reported ranges at launch: Pro 40–80 hrs Sonnet 4/week; Max 5x 140–280 hrs Sonnet + 15–35 hrs Opus; Max 20x 240–480 + 24–40 (reported only).",True,31 days,none — applied to existing subscribers,"Documented developer backlash, esp. Claude Code power users; later temporary weekly-limit boosts reported into 2026"
Cognition (Devin + Windsurf),cognition-devin,coding_agent,US,2025-04-03,price_decrease,"Devin 2.0: entry price dropped from $500/mo minimum (Team: 250 ACUs) to a $20 pay-as-you-go Core plan — a ~96% entry-price cut, widely covered as opening the coding-agent price war.",True,immediate,n/a (downward),Positive; framed as commoditization signal
Cognition (Devin + Windsurf),cognition-devin,coding_agent,US,2026-03-19,plan_restructure,Post-Windsurf merge: credit system retired entirely in favor of daily/weekly usage quotas; Windsurf Pro $15→$20; $200 Max tier added; Windsurf pricing merged into unified Devin plans (date reported only; corroborated by live redirect of windsurf.com/pricing).,True,unknown,no published details,Mild complaints on the $15→$20 rise; minor vs acquisition drama
Cursor (Anysphere),cursor,coding_agent,US,2025-06-16,credit_conversion,"Pro changed from $20/mo for 500 fast requests to $20/mo API-rate compute credit pool plus unlimited Auto (auto-routed models); Ultra ($200/mo) introduced. Effective usage fell to roughly 225 Sonnet-4 requests vs the former 500. 'Unlimited' applied only to Auto, which was widely misunderstood.",True,none — announced via blog but rollout poorly communicated; clarified June 30,none for the request model; full refunds offered for surprise charges June 16–July 4 via pro-pricing@cursor.com after July 4 public apology ('we missed the mark'),"Documented backlash: surprise overages (reports of $350+/week), mass complaints, public apology and refunds"
Cursor (Anysphere),cursor,coding_agent,US,2025-08-12,plan_restructure,'Updates to Teams and Auto' — adjustments to Teams plans and Auto usage; Pro+ tier appears on the pricing page in this era (exact launch date not verified from primary source).,True,unknown,unknown,
Decagon,decagon,support_agent,US,2024-12-10,other,"Publicly formalized the dual pricing menu: (a) per-conversation — fixed rate per incoming conversation with volume discounts; (b) per-resolution — higher rate, no charge for escalations, commitments lower the rate. Majority of customers reported choosing per-conversation.",True,n/a,n/a,
GitHub Copilot,github-copilot,coding_agent,US,2025-06-18,meter_change,"Premium-request billing enforcement began (system announced April 2025 with Pro+): allowances per plan (reported: Pro 300/mo, Pro+ 1,500, Business 300/user, Enterprise 1,000/user), overage $0.04/request, per-model multipliers.",True,~2 months from announcement,none,Grumbling over multipliers; moderate
GitHub Copilot,github-copilot,coding_agent,US,2026-04-22,limits_change,Unannounced-in-advance tightening of Individual plan limits and pause on self-serve Business signups.,False,none,unknown,Community discussion backlash (#192963)
GitHub Copilot,github-copilot,coding_agent,US,2026-06-01,credit_conversion,"Premium request units replaced by GitHub AI Credits consumed by token usage (input+output+cached) at published per-model API rates; completions/Next Edit exempt; model fallback removed. Announced April 27, 2026. Annual Pro/Pro+ subscribers keep premium-request pricing until expiry BUT with increased model multipliers from June 1 — partial silent degradation of grandfathered terms.",True,~5 weeks,partial — legacy pricing retained for annual subs with worsened multipliers,"Documented backlash: 'you will get less, but pay the same price'"
