company,slug,category,hq_country,as_of,confidence,pricing_models,free_tier,has_outcome_pricing,has_credits_system,enterprise_custom,meter,rate_raw,normalized_unit,usd_per_unit,overage_behavior
11x (Alice),11x,sales_agent,US,2026-07-22,public_page,usage|hybrid,False,False,False,True,new prospects per month (not sends),"bundled per tier; reported actuals: Vendr median ~$40,125/yr, range $38,250–$65,550",usd_per_yr,40125.0,tier upgrade
Anthropic (Claude consumer plans),anthropic-claude,foundation_lab,US,2026-07-22,public_page,seat|hybrid,True,False,False,True,overage usage credits,standard API rates when enabled past plan limits,,,opt-in top-up; otherwise hard wait at cap
Clay,clay,gtm_tooling,US,2026-07-22,public_page,credit|hybrid,True,False,True,True,actions (platform runs),<$0.01 per action; no charge on null results,usd_per_action,0.01,top-up at 30% premium; actions do not roll over
Clay,clay,gtm_tooling,US,2026-07-22,public_page,credit|hybrid,True,False,True,True,data credits (marketplace data/AI),"from $0.05 per credit; 80% of AI models fixed-credit, token-heavy models variable at token cost with no markup",usd_per_credit,0.05,top-up at 30% premium; roll over to 2x monthly amount (Enterprise: 15% of prior year)
Cognition (Devin + Windsurf),cognition-devin,coding_agent,US,2026-07-22,public_page,hybrid|usage|seat,True,False,False,True,model usage within daily/weekly quotas,varies by model/task size/reasoning; overage at API pricing,,,purchase at API rates
Cursor (Anysphere),cursor,coding_agent,US,2026-07-22,public_page,hybrid|usage|seat,True,False,True,True,model tokens (as dollar credit pool at API rates),API-rate passthrough; on-demand usage billed in arrears,,,opt-in spend limit; billed at cost in arrears
Decagon,decagon,support_agent,US,2026-07-22,reported,custom_only|usage|outcome,False,True,False,True,conversations or resolutions (customer's choice),reported ~$0.99/conversation; resolution rates negotiated,usd_per_conversation,0.99,contract terms
ElevenLabs,elevenlabs,voice_ai,US,2026-07-22,public_page,credit|hybrid,True,False,True,True,credits (characters of TTS),1 credit = 1 character (0.5 credits/character on Flash/Turbo models); extra TTS ~$0.36/min (Free tier rate) down to ~$0.17/min (Pro+),usd_per_min,0.36,top-up / pay-as-you-go credits
GitHub Copilot,github-copilot,coding_agent,US,2026-07-22,public_page,hybrid|usage|seat,True,False,True,False,AI Credits (token usage: input+output+cached),published per-model API rates,,,overage purchasable; admin budgets at enterprise/cost-center/user level
Google (Gemini consumer plans),google-gemini,foundation_lab,US,2026-07-22,reported,seat,True,False,False,False,compute (5-hour refresh windows + weekly cap),PAYG top-up AI credits past cap (Pro/Ultra),,,"soft landing: downgrade to smaller models, or buy top-up credits"
Instantly,instantly,gtm_tooling,US,2026-07-22,public_page,hybrid|credit|flat,False,False,True,True,emails sent,bundled caps per tier,,,upgrade
Instantly,instantly,gtm_tooling,US,2026-07-22,public_page,hybrid|credit|flat,False,False,True,True,lead credits,1 credit = 1 contact from database,,,higher credit tier
Intercom (Fin),intercom-fin,support_agent,US,2026-07-19,reported,seat|outcome|hybrid,False,True,False,True,resolutions,$0.99 per resolution (reported; HubSpot reportedly countered at $0.50 in April 2026),usd_per_resolution,0.99,pay-as-you-go
Lindy,lindy,agent_platform,US,2026-07-22,public_page,flat|hybrid,False,False,True,True,"tasks/actions (legacy credits, now unpublished)","legacy: simple ~1 credit, medium 2–5, complex/premium 10+ (reported)",,,undocumented publicly
Lovable,lovable,coding_agent,SE,2026-07-22,public_page,credit|hybrid,True,False,True,True,"credits (fractional, complexity-based per message)",simple edit ~0.5 credits; landing page ~1.7–2.0 credits,,,"hard stop until top-up (Pro $15/50, Business $30/50) or upgrade"
Manus (Meta),manus,agent_platform,US,2026-07-22,public_page,credit|hybrid,True,False,True,True,"credits (per task, by compute/tool usage)",varies per task; no upfront estimate shown,,,top-up or wait
Midjourney,midjourney,creative_ai,US,2026-07-22,public_page,usage|hybrid,False,False,False,False,Fast GPU time,$4/hour for extra Fast time (all plans); video ~8x image GPU cost (reported),usd_per_hour_for_extra_fast_time,4.0,top-up or fall back to Relax queue (Standard+)
Mistral (Le Chat / Vibe),mistral,foundation_lab,FR,2026-07-22,public_page,seat|hybrid,True,False,False,True,PAYG overage credits,API rates past plan limits,,,opt-in extension
Replit,replit,coding_agent,US,2026-07-22,public_page,hybrid|usage|credit,True,False,True,True,agent checkpoints (effort-based),variable by computational effort; formerly flat $0.25/checkpoint,usd_per_checkpoint,0.25,billed to card past credit allotment; budget limits can suspend apps
